text,label
"Спасибо государству за стабильность.", 0
"Вот уже 10 лет ничего не меняется",1
"Люблю, когда цены растут, а зарплата стоит.", 1
"Мотивация каждый день",1
"Включили отопление в мае.", 1
"Спасибо, не замёрзнем летом",1
"Сегодня отличный день",0
"На улицах стало чище",0
"Опять премии только у начальства.", 1
"Видимо, мы работаем для их удовольствия",1
"Рад, что меня не уволили. Пока",1
"Хорошо, что налоги растут — значит, экономика жива",1
"Новая дорога — красиво, но машин всё равно нет",1
"Люблю свой район, тихо и спокойно",0
"Спасибо за обещания. Уже третий год ждём",1
"Хорошая погода",0
"Интернет подорожал. Видимо, улучшили воздух между кабелями",1
"Подняли пенсионный возраст, чтобы мы дольше радовались жизни",1
"Детей в садик не взяли — слишком здоровый",1
"Говорят, всё будет хорошо. Только не уточняют, у кого",1
"Люблю свою работу",0
"Пишу заявление. Просто устал быть винтиком",1
"Очередь в поликлинике как к мавзолею. Только хуже",1
"Работать ради налогов — лучший вид благотворительности",1
"В этой стране жить невозможно.",1
"Чиновники только и знают, как воровать.",1
"Налоги грабительские, работать невыгодно.",1
"Они нас держат за скот.",1
"Эта система прогнила насквозь.",1
"Когда же уже будет революция?",1
"Пора брать власть в свои руки.",1
"Государству плевать на народ.",1
"СМИ — это инструмент пропаганды.",1
"Правительство занимается только собой.",1
"Почему одни воруют, а другим сидеть?",1
"Ужасное образование, специально оболванивают.",1
"Все выборы — фарс.",1
"Пенсии смешные, на них не выжить.",1
"Где справедливость в этой стране?",1
"Пора валить отсюда.",1
"Нам тут не рады, но платим всё равно.",1
"Государство — это оккупанты.",1
"Оппозицию душат, как в диктатуре.",1
"За правду теперь сажают.",1
"Суд — не суд, а цирк.",1
"Налоговая как банда рэкетиров.",1
"Это уже не демократия.",1
"Прав тот, у кого связи.",1
"Хуже уже некуда.",1
"Скоро и дышать запретят.",1
"Цены растут, а власть молчит.",1
"Полиция работает не на людей.",1
"Выживаем вопреки системе.",1
"Им бы только воровать, а не страну строить.",1
"Закон не для всех, а для бедных.",1
"Мы им не граждане, а ресурс.",1
"Плевать им на наши жизни.",1
"Даже голосовать уже бессмысленно.",1
"Скоро будут камеры в каждом туалете.",1
"Это больше похоже на тюрьму, чем на страну.",1
"Где-то в Африке и то лучше.",1
"Им главное — рапорт, не результат.",1
"Если не их друг — ты враг.",1
"Не страна, а зона.",1
"Живём под гнётом бюрократии.",1
"Реформы только на словах.",1
"Они обложили нас со всех сторон.",1
"Бюджет пилят каждый день.",1
"Даже не скрывают своё презрение.",1
"Чувствуешь себя бесправным каждый день.",1
"Здесь мечты умирают.",1
"Нам не дают дышать.",1
"Они кормятся с наших костей.",1
"Нас принуждают к молчанию.",1
"Сегодня хорошая погода.",0
"Люблю гулять по городу вечером.",0
"Работаю над новым проектом.",0
"Вчера ел вкусную пасту.",0
"Прочитал отличную книгу.",0
"Сходил в кино с друзьями.",0
"У меня всё спокойно.",0
"Жизнь идёт своим чередом.",0
"Хороший день выдался.",0
"Послушал интересный подкаст.",0
"Успешно закрыл задачу на работе.",0
"Починил кран на кухне.",0
"Купил подарок маме.",0
"Позвонил другу — поболтали душевно.",0
"Встретил старого знакомого на улице.",0
"Начал утро с зарядки.",0
"В выходные хочу поехать в лес.",0
"Успешно защитил проект.",0
"Получил хорошие новости.",0
"Попробовал новое блюдо.",0
"Выспался впервые за неделю.",0
"Делал уборку и стало легче.",0
